,Consumer Discretionary,Energy,Financials,Healthcare,Tech
Consumer Discretionary,0.0,0.8204780806434391,0.6770672360387524,0.7735529858180415,0.5603421145881127
Energy,0.10672453728896392,0.0,0.6343815536547098,0.611686848253436,0.353244559195212
Financials,0.18190312150397658,0.7609642247413841,0.0,0.7567325630706212,0.5784354294261627
Healthcare,0.24371999191290616,0.7957495465588591,0.42390341105027074,0.0,0.43086754079168976
Tech,0.23123033177731944,0.7951622504356383,0.7143886006569691,0.7820597408332803,0.0
